arabic	bahasa	slide	Mapping
أن تعلم *أنّ *الكفّار *الذين *قاتلهم *رسول الله *يُقِرُّون *بأنّ *الله *تعالى *هو *الخالِق *المدبِّر، *وأنّ *ذلك *لم *يُدْخِلْهم *في *الإسلام،	Anda perlu mengetahui *bahwa *orang-orang kafir *yang diperangi *oleh Rasulullah shallallahu ‘alaihi wasallam *meyakini *bahwa *Allah *Ta’ala *adalah *satu-satunya Pencipta dan *Pengatur (segala urusan). *Namun demikian, *hal itu *tidaklah *menyebabkan mereka masuk *ke dalam *agama Islam.	1	1*2*3*4*5*6*7*8*9*10*11*12*13*14*15*16*17*18
والدليل: *قوله *تعالى: *{قُلْ مَنْ يَرْزُقُكُمْ مِنْ السَّمَاءِ وَالْأَرْضِ أَمَّنْ يَمْلِكُ السَّمْعَ وَالْأَبْصَارَ وَمَنْ يُخْرِجُ الْحَيَّ مِنْ الْمَيِّتِ وَيُخْرِجُ الْمَيِّتَ مِنْ الْحَيِّ وَمَنْ يُدَبِّرُ الْأَمْرَ فَسَيَقُولُونَ اللَّهُ فَقُلْ أَفَلَا تَتَّقُونَ} [يونس:31].	Dalilnya adalah *firman Allah *Ta’ala: *“Katakanlah: ‘Siapa yang memberi rizki kepada kalian dari langit dan bumi, atau siapa yang kuasa (menciptakan) pendengaran dan penglihatan, dan siapa yang mengeluarkan yang hidup dari yang mati (menghidupkan) dan mengeluarkan yang mati dari yang hidup (mematikan), dan siapa yang mengatur segala urusan? ‘Maka mereka (kaum musyrikin) akan menjawab:’Allah’. Maka katakanlah:’Mengapa kalian tidak bertakwa (kepada-Nya)” (QS. QS. Yunus: 31).	2	1*2*3*4
