arabic	bahasa	slide	Mapping
أنّ *مشركي *زماننا *أغلظ شركـًا *من الأوّلين، *لأنّ الأوّلين *يُشركون *في *الرخاء *ويُخلصون *في *الشدّة، *و*مشركوا *زماننا *شركهم *دائم؛ *في *الرخاء *و*الشدّة.	Sesungguhnya *kaum musyrikin *di zaman kita *lebih parah dibandingkan *kaum musyrikin zaman dulu. *Kaum musyrikin zaman dahulu *berbuat syirik *pada *saat lapang (bergelimang kenikmatan) *dan mereka mengikhlaskan (ibadah kepada Allah semata) *ketika berada *dalam keadaan sempit (tertimpa musibah). *Sedangkan *orang-orang musyrik *di zaman kita *berbuat syirik *dalam setiap keadaan, *baik ketika *lapang *maupun *sempit.	1	1*2*3*4*5*6*7*8*9*10*11*12*13*14*15*16*17*18*19*20*21
والدليل *قوله *تعالى: *{فَإِذَا رَكِبُوا فِي الْفُلْكِ دَعَوْا اللَّهَ مُخْلِصِينَ لَهُ الدِّينَ فَلَمَّا نَجَّاهُمْ إِلَى الْبَرِّ إِذَا هُمْ يُشْرِكُونَ}[العنكبوت:65].	Dalilnya adalah *firman Allah *Ta’ala, *“Maka apabila mereka naik kapal, mereka berdo’a kepada Allah dengan memurnikan keta’atan kepada-Nya, maka tatkala Allah menyelamatkan mereka sampai ke darat, tiba-tiba mereka [kembali] mempersekutukan [Allah]” (QS.Al- Ankabut: 65).	2	1*2*3*4
